temperature_c,humidity_pct,pressure_hpa,mq4_ch4_ppm,mq135_gas_ppm,sound_db,vibration_g,Actual_Risk,ML_Prediction,Critical_Danger_Probability,High_Risk_Probability,Moderate_Risk_Probability,Safe_Probability,V2_Prediction,V2_Escalated
27.75,53.04,1007.73,171.66,115.6,106.64,5.04,0,0,0.85,0.15,0.0,0.0,0,True
22.44,67.45,1011.49,174.22,37.8,54.9,0.12,3,3,0.0,0.0,0.0,1.0,3,False
24.92,58.69,1011.41,86.75,70.38,56.95,0.18,3,3,0.0,0.0,0.0,1.0,3,False
21.01,59.18,1013.75,160.76,65.98,53.49,0.21,3,3,0.0,0.0,0.0,1.0,3,False
21.58,60.97,1008.72,187.03,73.6,93.2,3.4,0,0,0.82,0.18,0.0,0.0,0,True
26.6,60.36,1018.45,166.76,100.62,97.59,2.88,0,0,0.93,0.06,0.0,0.01,0,True
32.18,94.99,1011.13,428.74,326.25,45.39,0.07,2,2,0.0,0.22,0.78,0.0,2,False
40.05,41.48,1013.79,603.26,266.08,77.26,0.42,1,1,0.22,0.78,0.0,0.0,1,False
28.53,48.7,1001.91,4754.14,126.38,65.88,0.22,0,0,0.98,0.02,0.0,0.0,0,True
24.97,61.85,1016.66,77.79,63.65,53.11,0.09,3,3,0.0,0.0,0.0,1.0,3,False
22.51,68.05,1016.03,118.24,87.32,75.84,5.87,1,1,0.02,0.98,0.0,0.0,1,False
33.88,82.95,1005.42,341.73,281.88,48.43,0.13,2,2,0.0,0.09,0.91,0.0,2,False
25.23,64.66,1003.98,2847.77,124.69,59.06,0.35,0,0,0.96,0.04,0.0,0.0,0,True
56.65,28.22,1010.01,664.85,295.15,66.5,0.3,0,0,0.93,0.07,0.0,0.0,0,True
25.22,75.86,1012.9,190.81,41.02,111.64,3.22,0,0,0.85,0.12,0.0,0.03,0,True
37.85,35.86,1013.67,388.57,327.55,79.59,0.16,1,1,0.21,0.74,0.0,0.05,1,False
29.43,60.93,1002.95,1016.08,141.79,52.16,0.31,0,0,0.54,0.44,0.01,0.01,0,True
27.99,62.46,1013.69,82.63,51.34,59.45,0.06,3,3,0.01,0.01,0.0,0.98,3,False
22.85,59.48,1007.4,2027.36,108.45,59.39,0.14,0,0,0.63,0.33,0.0,0.04,0,True
25.2,72.5,1009.17,175.89,96.41,82.61,6.39,1,1,0.08,0.92,0.0,0.0,1,False
22.57,61.29,1014.1,116.45,40.15,58.86,0.2,3,3,0.0,0.0,0.0,1.0,3,False
29.12,70.82,1011.78,150.94,56.14,90.4,4.43,0,0,0.55,0.45,0.0,0.0,0,True
27.05,73.87,1013.13,237.24,74.58,102.03,4.4,0,0,0.87,0.13,0.0,0.0,0,True
29.37,53.04,1006.98,2534.3,134.49,61.63,0.3,0,0,0.79,0.21,0.0,0.0,0,True
27.86,60.39,1012.58,222.17,53.73,95.21,3.61,0,0,0.86,0.13,0.0,0.01,0,True
25.29,49.21,1011.6,91.14,48.43,45.33,0.21,3,3,0.01,0.01,0.0,0.98,3,False
24.49,58.71,1009.54,1186.54,148.01,67.62,0.26,0,0,0.73,0.27,0.0,0.0,0,True
25.18,54.62,995.88,939.15,152.43,66.11,0.18,1,1,0.43,0.56,0.0,0.01,0,True
49.01,34.3,1013.05,824.65,384.21,70.29,0.3,0,0,0.95,0.05,0.0,0.0,0,True
41.84,41.35,1012.4,664.43,395.34,53.21,0.37,1,1,0.43,0.57,0.0,0.0,0,True
27.02,75.67,1013.25,180.83,60.32,95.82,3.88,0,0,0.81,0.19,0.0,0.0,0,True
21.03,60.06,1016.06,115.9,57.04,60.54,0.1,3,3,0.0,0.0,0.0,1.0,3,False
22.72,57.91,1015.87,87.8,88.22,54.33,0.22,3,3,0.0,0.0,0.0,1.0,3,False
27.11,69.6,1011.72,57.6,53.3,47.03,0.24,3,3,0.0,0.0,0.0,1.0,3,False
57.6,44.13,1010.07,970.4,616.5,57.38,0.33,0,0,0.98,0.02,0.0,0.0,0,True
28.04,52.56,1012.01,2640.53,157.17,58.69,0.12,0,0,0.91,0.09,0.0,0.0,0,True
49.18,40.47,1009.05,801.23,343.0,73.68,0.36,0,0,0.97,0.03,0.0,0.0,0,True
29.17,91.27,1000.87,183.81,234.59,48.41,0.14,2,2,0.0,0.05,0.95,0.0,2,False
26.4,63.73,1016.47,110.52,84.95,60.19,0.16,3,3,0.0,0.0,0.0,1.0,3,False
23.73,60.11,1015.63,132.16,51.06,56.53,0.16,3,3,0.0,0.0,0.0,1.0,3,False
40.7,46.69,1008.33,838.58,578.69,63.68,0.22,0,0,0.97,0.03,0.0,0.0,0,True
24.75,61.37,1018.67,126.22,68.1,53.92,0.12,3,3,0.0,0.0,0.0,1.0,3,False
25.9,68.81,1011.29,196.76,111.94,109.2,2.25,0,0,0.98,0.02,0.0,0.0,0,True
47.02,35.67,1010.48,708.47,394.85,64.11,0.23,0,0,0.99,0.01,0.0,0.0,0,True
22.36,67.03,1013.76,86.03,54.09,61.66,0.2,3,3,0.0,0.0,0.0,1.0,3,False
27.98,58.63,1003.45,2960.17,168.86,55.43,0.13,0,0,0.99,0.01,0.0,0.0,0,True
30.27,87.74,1005.94,392.46,471.85,41.12,0.13,1,1,0.0,0.96,0.04,0.0,1,False
26.71,76.01,1013.8,138.1,48.53,94.4,4.14,1,0,0.68,0.32,0.0,0.0,0,True
49.37,43.62,1009.76,632.38,464.72,80.14,0.41,0,0,1.0,0.0,0.0,0.0,0,True
27.61,61.61,1005.94,1124.85,129.56,46.48,0.32,1,0,0.54,0.45,0.0,0.01,0,True
50.14,37.16,1012.02,984.98,645.96,66.0,0.19,0,0,1.0,0.0,0.0,0.0,0,True
26.59,59.04,1011.4,4677.6,162.81,68.06,0.16,0,0,0.96,0.04,0.0,0.0,0,True
21.44,62.04,1007.78,182.02,54.16,86.77,5.69,1,1,0.14,0.86,0.0,0.0,1,False
25.56,64.21,1009.73,55.57,85.71,59.05,0.21,3,3,0.0,0.0,0.0,1.0,3,False
34.36,93.32,1004.88,389.45,253.25,43.54,0.08,2,2,0.0,0.18,0.82,0.0,2,False
52.37,46.38,1003.55,1067.32,424.63,61.77,0.3,0,0,1.0,0.0,0.0,0.0,0,True
23.95,56.25,1016.77,129.41,77.73,53.2,0.16,3,3,0.0,0.0,0.0,1.0,3,False
23.49,60.95,1008.15,157.05,63.2,51.45,0.25,3,3,0.02,0.01,0.0,0.97,3,False
34.46,90.39,1003.79,206.13,475.95,51.38,0.12,1,1,0.0,0.96,0.02,0.02,1,False
27.88,59.86,1007.84,141.72,45.68,99.28,3.37,0,0,0.96,0.04,0.0,0.0,0,True
23.78,66.65,1011.9,85.2,80.86,58.74,0.13,3,3,0.0,0.0,0.0,1.0,3,False
27.73,55.56,1011.46,4537.69,156.4,55.74,0.21,0,0,0.96,0.04,0.0,0.0,0,True
32.17,94.21,1000.79,164.27,341.06,40.22,0.14,2,2,0.0,0.12,0.88,0.0,2,False
29.78,56.86,1008.07,112.91,50.2,49.47,0.22,3,3,0.09,0.09,0.02,0.8,3,False
25.59,61.68,1011.73,113.52,78.83,116.23,5.03,0,0,1.0,0.0,0.0,0.0,0,True
29.13,91.21,1000.39,184.54,510.31,43.81,0.09,1,1,0.0,0.96,0.04,0.0,1,False
25.11,68.14,1016.58,87.21,40.87,57.68,0.2,3,3,0.0,0.0,0.0,1.0,3,False
22.16,60.67,1003.82,3264.27,189.72,71.3,0.15,0,0,0.89,0.11,0.0,0.0,0,True
29.18,59.59,1013.52,203.83,112.67,72.73,4.51,1,1,0.14,0.83,0.0,0.03,1,False
26.94,72.22,1015.02,150.64,54.3,45.32,0.08,3,3,0.0,0.0,0.0,1.0,3,False
32.35,95.57,1008.05,209.19,533.37,45.54,0.13,1,1,0.0,0.96,0.04,0.0,1,False
40.33,43.16,1008.18,795.02,644.86,63.83,0.39,0,0,1.0,0.0,0.0,0.0,0,True
28.52,62.68,1011.08,180.53,92.0,41.58,0.21,3,3,0.11,0.05,0.01,0.83,3,False
24.64,67.92,1013.97,175.34,68.62,58.29,0.18,3,3,0.0,0.0,0.0,1.0,3,False
22.56,63.9,1014.91,89.08,53.56,53.11,0.12,3,3,0.0,0.0,0.0,1.0,3,False
20.36,63.87,1010.2,162.49,97.7,102.73,4.5,0,0,0.97,0.03,0.0,0.0,0,True
27.64,55.57,1010.89,4609.94,158.58,69.15,0.27,0,0,0.95,0.05,0.0,0.0,0,True
27.45,66.41,1004.53,3670.31,105.36,78.9,0.22,0,0,0.9,0.1,0.0,0.0,0,True
23.47,55.46,1007.81,106.7,66.82,59.99,0.12,3,3,0.0,0.0,0.0,1.0,3,False
27.1,62.88,1010.86,3749.6,82.65,59.99,0.1,0,0,0.88,0.05,0.0,0.07,0,True
39.72,45.16,1014.62,1041.32,576.5,66.94,0.41,0,0,0.94,0.06,0.0,0.0,0,True
26.89,70.92,1012.17,81.19,129.63,92.43,3.27,1,1,0.39,0.6,0.0,0.01,1,False
26.47,54.54,1012.93,150.71,54.37,107.65,5.06,0,0,0.96,0.04,0.0,0.0,0,True
47.54,44.85,1010.66,405.53,591.73,66.25,0.33,0,0,1.0,0.0,0.0,0.0,0,True
51.39,47.35,1011.05,263.97,335.6,80.64,0.43,0,0,0.89,0.11,0.0,0.0,0,True
21.96,62.2,1010.19,80.24,25.59,53.63,0.15,3,3,0.0,0.0,0.0,1.0,3,False
23.12,56.33,1014.93,201.2,64.71,60.71,0.17,3,3,0.0,0.0,0.0,1.0,3,False
30.46,94.47,1009.05,174.42,368.53,48.86,0.05,1,1,0.0,0.92,0.08,0.0,1,False
19.34,61.74,1013.66,148.58,104.67,116.0,3.11,0,0,0.93,0.06,0.0,0.01,0,True
25.58,66.96,1015.85,116.58,120.52,71.13,3.87,1,1,0.05,0.93,0.0,0.02,1,False
25.47,54.74,1010.78,163.14,88.03,49.43,0.23,3,3,0.01,0.0,0.0,0.99,3,False
19.75,60.38,1013.53,178.95,43.53,51.6,0.07,3,3,0.02,0.0,0.0,0.98,3,False
27.94,59.44,1012.65,4281.08,104.99,69.42,0.33,0,0,0.93,0.06,0.0,0.01,0,True
32.36,57.45,1005.34,4093.39,122.26,64.56,0.12,0,0,0.99,0.01,0.0,0.0,0,True
32.62,83.38,1009.56,318.2,250.76,40.96,0.06,2,2,0.0,0.02,0.98,0.0,2,False
26.43,67.06,1008.15,88.14,60.02,60.24,0.2,3,3,0.0,0.01,0.0,0.99,3,False
27.18,61.01,1008.92,4690.74,143.01,79.53,0.2,0,0,0.92,0.08,0.0,0.0,0,True
26.13,52.04,1009.72,1672.91,103.15,68.2,0.31,1,0,0.58,0.42,0.0,0.0,0,True
25.46,63.03,1012.86,114.37,81.52,110.87,1.95,0,0,0.99,0.01,0.0,0.0,0,True
54.97,40.28,1009.11,706.71,644.68,67.45,0.33,0,0,1.0,0.0,0.0,0.0,0,True
26.42,64.52,1013.0,3821.42,178.15,57.02,0.18,0,0,0.97,0.03,0.0,0.0,0,True
25.15,53.94,1019.54,93.39,91.75,48.44,0.05,3,3,0.0,0.0,0.0,1.0,3,False
57.37,42.54,1007.61,547.21,262.71,57.59,0.31,0,0,0.95,0.05,0.0,0.0,0,True
32.45,89.0,1004.76,293.89,511.78,45.93,0.14,1,1,0.0,0.98,0.02,0.0,1,False
24.36,59.79,1005.96,3404.15,169.6,50.95,0.18,0,0,0.98,0.0,0.0,0.02,0,True
22.69,61.35,1009.4,2768.15,125.94,63.07,0.26,0,0,0.91,0.08,0.0,0.01,0,True
28.91,61.37,1012.53,226.47,115.24,110.06,5.05,0,0,0.82,0.18,0.0,0.0,0,True
25.23,67.61,1010.04,96.79,75.0,88.78,2.98,0,0,0.8,0.2,0.0,0.0,0,True
25.6,63.4,1016.83,33.97,51.77,50.65,0.21,3,3,0.0,0.0,0.0,1.0,3,False
25.01,62.94,1014.85,196.02,48.15,47.87,0.13,3,3,0.0,0.0,0.0,1.0,3,False
23.46,61.61,1013.02,63.19,69.51,54.69,0.09,3,3,0.0,0.0,0.0,1.0,3,False
23.28,66.63,1008.59,126.77,110.89,118.45,2.81,0,0,0.96,0.02,0.0,0.02,0,True
25.65,59.09,1009.03,2253.18,88.48,62.9,0.26,0,0,0.64,0.33,0.0,0.03,0,True
27.9,58.39,1009.82,183.45,84.85,114.14,4.38,0,0,0.95,0.05,0.0,0.0,0,True
46.05,37.5,1011.09,578.14,664.68,64.4,0.41,0,0,1.0,0.0,0.0,0.0,0,True
22.18,63.35,1014.54,200.9,54.05,48.07,0.18,3,3,0.0,0.0,0.0,1.0,3,False
34.32,82.7,1003.73,307.23,221.16,44.56,0.16,2,2,0.0,0.12,0.88,0.0,2,False
33.09,83.91,1008.35,251.85,530.53,45.04,0.18,1,1,0.02,0.96,0.02,0.0,1,False
21.85,63.68,1010.99,179.04,34.68,59.32,0.24,3,3,0.0,0.0,0.0,1.0,3,False
26.09,60.88,1022.51,210.24,87.12,47.34,0.24,3,3,0.01,0.0,0.0,0.99,3,False
20.02,67.3,1008.65,135.04,110.78,112.61,4.08,0,0,0.96,0.04,0.0,0.0,0,True
31.42,88.3,1004.94,209.81,314.6,38.59,0.13,2,2,0.0,0.11,0.89,0.0,2,False
39.07,39.38,1010.74,987.78,488.23,62.15,0.18,0,0,0.98,0.02,0.0,0.0,0,True
25.13,60.17,1014.91,218.42,62.53,88.49,2.2,0,0,0.73,0.27,0.0,0.0,0,True
25.68,49.24,1009.87,1378.0,162.62,56.58,0.17,0,0,0.57,0.42,0.0,0.01,0,True
27.02,65.1,1011.35,174.16,50.39,50.21,0.12,3,3,0.0,0.0,0.0,1.0,3,False
24.06,54.94,1012.33,285.73,121.53,84.17,4.37,1,1,0.21,0.79,0.0,0.0,1,False
29.14,59.94,1010.59,261.58,45.75,77.25,4.21,1,1,0.14,0.86,0.0,0.0,1,False
22.76,71.7,1009.22,132.25,83.3,88.81,2.07,0,0,0.6,0.39,0.0,0.01,0,True
25.09,66.85,1002.54,1367.67,156.0,59.05,0.18,0,1,0.45,0.54,0.0,0.01,0,True
25.08,62.03,1012.13,92.4,26.86,50.28,0.07,3,3,0.0,0.0,0.0,1.0,3,False
24.85,57.48,1008.55,161.0,83.29,51.46,0.19,3,3,0.0,0.0,0.0,1.0,3,False
27.66,69.73,1013.3,151.95,89.5,54.81,0.23,3,3,0.04,0.01,0.0,0.95,3,False
27.49,60.18,1011.19,204.76,49.56,56.5,0.19,3,3,0.0,0.0,0.0,1.0,3,False
22.85,63.66,1015.0,214.38,104.37,113.04,4.95,0,0,0.91,0.09,0.0,0.0,0,True
24.28,63.76,1017.58,75.55,67.11,47.3,0.18,3,3,0.0,0.0,0.0,1.0,3,False
22.03,62.23,1015.07,146.61,55.05,56.48,0.14,3,3,0.0,0.0,0.0,1.0,3,False
22.56,56.11,1011.93,179.16,41.26,53.27,0.25,3,3,0.01,0.0,0.0,0.99,3,False
22.94,60.69,1018.15,117.38,108.22,89.0,4.23,1,1,0.34,0.65,0.0,0.01,1,False
25.83,61.53,1019.03,61.33,72.31,46.99,0.07,3,3,0.0,0.0,0.0,1.0,3,False
56.01,44.74,1013.25,815.29,342.73,65.76,0.32,0,0,0.96,0.04,0.0,0.0,0,True
45.88,39.41,1009.18,620.25,410.83,74.29,0.4,0,0,1.0,0.0,0.0,0.0,0,True
26.13,62.62,1012.83,161.67,99.12,49.89,0.09,3,3,0.06,0.0,0.03,0.91,3,False
19.46,59.95,1008.2,215.77,119.45,74.6,5.97,1,1,0.08,0.9,0.0,0.02,1,False
21.89,63.63,1016.83,112.55,90.61,62.45,0.17,3,3,0.0,0.0,0.0,1.0,3,False
25.04,56.68,1012.66,226.92,71.84,55.78,0.18,3,3,0.03,0.03,0.0,0.94,3,False
22.34,64.24,1014.83,48.18,51.65,48.28,0.18,3,3,0.0,0.0,0.0,1.0,3,False
50.4,33.09,1007.72,749.88,567.9,67.3,0.27,0,0,1.0,0.0,0.0,0.0,0,True
24.2,60.15,1013.74,149.56,83.47,61.99,0.09,3,3,0.0,0.0,0.0,1.0,3,False
23.22,63.44,1012.4,66.61,64.6,57.65,0.2,3,3,0.0,0.0,0.0,1.0,3,False
28.75,59.14,1014.64,1884.54,142.93,77.28,0.24,0,1,0.44,0.56,0.0,0.0,0,True
20.57,60.35,1014.13,209.28,61.99,114.83,4.71,0,0,0.95,0.05,0.0,0.0,0,True
23.99,66.75,1013.87,293.05,85.89,85.97,5.1,1,1,0.04,0.96,0.0,0.0,1,False
52.71,45.06,1006.33,1076.93,342.66,62.74,0.35,0,0,0.97,0.03,0.0,0.0,0,True
28.4,66.7,1007.63,1286.22,126.59,47.05,0.16,1,0,0.63,0.33,0.01,0.03,0,True
26.59,63.33,1015.13,192.87,68.64,44.14,0.14,3,3,0.0,0.0,0.0,1.0,3,False
31.83,83.17,1004.28,268.1,312.94,44.45,0.08,2,2,0.0,0.05,0.95,0.0,2,False
23.98,61.61,1012.58,56.97,70.67,61.44,0.22,3,3,0.0,0.0,0.0,1.0,3,False
24.48,60.57,1016.65,176.24,78.47,62.75,0.19,3,3,0.0,0.0,0.0,1.0,3,False
27.52,55.75,1015.39,206.43,77.8,57.49,0.22,3,3,0.0,0.0,0.0,1.0,3,False
24.69,59.94,1011.97,4107.66,118.26,60.88,0.18,0,0,0.98,0.01,0.0,0.01,0,True
27.64,64.6,1013.21,171.43,50.79,54.26,0.06,3,3,0.0,0.0,0.0,1.0,3,False
25.93,59.46,1009.33,1956.15,173.0,63.52,0.17,0,0,0.71,0.28,0.0,0.01,0,True
25.95,54.3,1005.79,3812.83,94.53,53.43,0.23,0,0,0.78,0.19,0.0,0.03,0,True
25.78,62.79,1003.5,3282.37,136.09,56.42,0.12,0,0,0.97,0.03,0.0,0.0,0,True
33.17,94.7,1011.91,426.31,391.94,45.16,0.08,1,1,0.0,0.93,0.07,0.0,1,False
34.98,88.91,1006.19,203.52,384.44,49.4,0.15,1,1,0.0,0.98,0.02,0.0,1,False
22.97,66.69,1007.89,197.68,119.6,119.89,1.81,0,0,0.94,0.06,0.0,0.0,0,True
49.58,45.0,1008.96,1068.96,269.7,66.32,0.29,0,0,1.0,0.0,0.0,0.0,0,True
28.11,66.5,1005.58,1370.5,115.96,54.46,0.15,0,0,0.57,0.4,0.0,0.03,0,True
25.97,64.12,1016.03,104.99,47.94,45.4,0.12,3,3,0.0,0.0,0.0,1.0,3,False
23.55,61.45,1016.1,139.13,45.12,44.67,0.13,3,3,0.0,0.0,0.0,1.0,3,False
22.47,63.08,1015.5,123.23,62.98,54.39,0.18,3,3,0.0,0.0,0.0,1.0,3,False
47.23,30.4,1002.7,515.25,589.1,67.1,0.35,0,0,0.97,0.03,0.0,0.0,0,True
41.45,45.65,1009.34,556.72,505.45,75.86,0.2,0,0,0.96,0.04,0.0,0.0,0,True
