temperature_c,humidity_pct,pressure_hpa,mq4_ch4_ppm,mq135_gas_ppm,sound_db,vibration_g,temp_change_rate,ch4_change_rate,Hazard_Type,Risk_Level,Recommended_Action
29.75,59.18,1011.81,3248,145.76,75.12,0.16,0.274,50.865,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
26.51,54.94,1016.68,4604.6,142.08,60.59,0.29,0.429,19.965,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.21,60.29,1008.04,165.05,43.65,92.76,2.74,-0.046,0.117,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
21.79,65.8,1013.45,36.36,28.95,50.49,0.21,0.044,3.777,Normal,Safe,Maintain Regular Monitoring
27.75,58.92,1004.88,3287.41,83.66,60.45,0.19,0.308,49.548,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
51.45,47.86,1010.07,361.77,346.38,58.36,0.27,3.251,9.14,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
21.16,54.09,1015.89,191.49,71.55,53.39,0.14,-0.025,-0.566,Normal,Safe,Maintain Regular Monitoring
45.22,43.02,1008.93,310.36,256.88,71.58,0.35,2.632,5.619,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
24.2,61.51,1013.26,160.2,90.59,51.33,0.23,0.038,0.57,Normal,Safe,Maintain Regular Monitoring
23.16,53.51,1011.26,127.13,38.46,43.24,0.2,0.057,1.663,Normal,Safe,Maintain Regular Monitoring
26.07,61.12,1017.33,221.51,64.78,77.66,5.8,0.07,-0.25,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
25.72,66.56,1011.6,136.53,92.4,79.28,5.18,0.041,1.033,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
30.62,84.34,1009.51,279.16,258.48,50.46,0.09,0.155,3.791,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
23.49,60.95,1008.15,157.05,63.2,51.45,0.25,0.115,-0.055,Normal,Safe,Maintain Regular Monitoring
24.42,56.27,1013.22,209.13,49.48,52.83,0.05,0.007,2.418,Normal,Safe,Maintain Regular Monitoring
26.12,62.52,1014.09,188.53,106.14,121.46,2.78,-0.003,0.093,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
27.9,50.57,1003.49,2988.56,88.5,75.86,0.29,0.423,73.355,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
21.26,59.29,1010.84,53.59,42.36,59.49,0.17,0.011,-0.83,Normal,Safe,Maintain Regular Monitoring
26.59,74,1009.17,3099.04,144.48,69.2,0.15,0.153,48.288,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
24.31,54.38,1013.92,216.42,67.01,52.83,0.21,0.034,1.246,Normal,Safe,Maintain Regular Monitoring
34.61,84.08,1003.52,288.8,543.54,44.77,0.16,-0.092,3.524,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
22.87,58.73,1011.41,150.66,67.28,56.34,0.25,0.08,0.096,Normal,Safe,Maintain Regular Monitoring
52.82,39.47,1014.08,1009.13,248.73,66.57,0.42,2.01,7.104,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
25.68,62.97,1013.14,163.03,73.11,57.44,0.11,0.077,-0.138,Normal,Safe,Maintain Regular Monitoring
25.21,55.9,1005.86,906.55,158.54,68.85,0.31,0.136,67.74,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
52.92,41.17,1011.51,901.2,609.12,62.63,0.3,1.01,6.075,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
24.88,58.62,1012.77,110.37,90.93,43.64,0.07,0.031,2.246,Normal,Safe,Maintain Regular Monitoring
25.01,63.92,1012.25,77.5,76.26,77.38,3.97,0.044,-0.63,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
24.69,67.5,1011.16,165.76,58.08,109.78,5.13,0.035,-1.453,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
28.01,59.87,1013.01,273.28,85.28,81.23,5.13,-0.032,0.189,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
32.78,85.39,1008.37,391.19,397.85,45.28,0.06,0.095,-0.478,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
46.93,33.69,1013.11,363.75,509.6,63.62,0.23,2.709,2.627,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
25.04,69.95,1009.4,135.9,49.17,79.01,4.09,-0.024,0.874,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
24.97,62.97,1015.75,112.77,93.99,51.5,0.15,0.098,-1.094,Normal,Safe,Maintain Regular Monitoring
25.44,57.92,1013.77,180.06,86.52,61.35,0.07,0.051,1.945,Normal,Safe,Maintain Regular Monitoring
24.25,59.75,1013.2,129.58,57,47.68,0.12,0.082,0.116,Normal,Safe,Maintain Regular Monitoring
23.79,64.41,1012.09,220.66,48.88,64.61,0.11,0.039,-0.582,Normal,Safe,Maintain Regular Monitoring
25.26,66.75,1003.24,3667.17,93.91,75.14,0.32,0.112,19.066,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
21.96,62.2,1010.19,80.24,25.59,53.63,0.15,-0.03,1.435,Normal,Safe,Maintain Regular Monitoring
32.17,82.14,995.36,289.23,537.59,45.27,0.13,0.134,-0.447,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
27.24,69.29,1007.05,1899.05,72.11,63.54,0.17,0.21,39.367,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
27.29,66.94,1009.15,217.35,81.94,41.36,0.11,-0.027,0.376,Normal,Safe,Maintain Regular Monitoring
52.44,37.48,1004.25,299.17,660.58,68.15,0.44,1.004,5.657,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
24.92,58.69,1011.41,86.75,70.38,56.95,0.18,0.002,2.397,Normal,Safe,Maintain Regular Monitoring
29.82,86.83,1000.94,425.25,308.77,44.58,0.16,0.024,1.304,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
23,72.45,1008.38,136.95,73.23,52.86,0.21,0.129,-1.773,Normal,Safe,Maintain Regular Monitoring
23.59,64.5,1011.4,110.2,44.5,91.09,6.44,-0.062,0.448,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
25.74,64.24,1013,126.72,74.96,108.18,2.05,0.017,0.241,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
25.49,59.09,1013.28,221.86,78.8,47.54,0.19,0.056,-1.052,Normal,Safe,Maintain Regular Monitoring
22.78,64.36,1017.65,138.37,24.53,58.63,0.11,0.043,1.357,Normal,Safe,Maintain Regular Monitoring
28.67,88,1004.92,348.73,250.29,42.04,0.1,0.011,-1.688,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
21.79,65.24,1012.45,251.17,86.17,100.14,4.48,0.026,-1.38,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
27.76,57.78,1009.87,245.28,48.14,105.2,2.55,-0.014,0.414,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
24.62,56.3,1017.95,184.42,81.34,113.8,2.76,0.041,-0.091,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
27.04,59.97,1012.12,50.08,65.67,48.84,0.22,-0.11,0.739,Normal,Safe,Maintain Regular Monitoring
27.87,62.43,1012.94,3895.94,148.56,53.43,0.14,0.211,34.773,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
26.39,59.48,1012.96,78.64,20.76,48.48,0.1,-0.034,1.961,Normal,Safe,Maintain Regular Monitoring
33.94,87.92,1008.28,240.88,320.6,47.98,0.15,0.013,-1.271,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
55.84,44.13,1015.11,811.86,256.09,55.96,0.31,2.715,3.673,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
25.25,69.01,1015.15,85.38,74.52,56.5,0.15,-0.095,0.688,Normal,Safe,Maintain Regular Monitoring
26.45,66.98,1015.65,167.34,75.27,59.06,0.21,-0.008,-0.82,Normal,Safe,Maintain Regular Monitoring
25.29,65.89,1014.57,227.75,56.8,52.68,0.21,-0.016,2.233,Normal,Safe,Maintain Regular Monitoring
24.39,64.27,1015.52,178.9,74.61,55.24,0.22,0.045,-0.131,Normal,Safe,Maintain Regular Monitoring
20.69,69.49,1010.56,132.21,109.71,110.87,4.51,-0.025,0.884,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
48.58,44.66,1005.22,1020.17,225.59,65.42,0.31,1.577,5.068,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
30.47,90.7,1005.57,250.21,459.12,43.66,0.05,-0.006,2.864,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
30.63,56.06,1006.27,2326.99,183.33,60.69,0.26,0.312,28.929,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
27.11,69.6,1011.72,57.6,53.3,47.03,0.24,0.024,0.224,Normal,Safe,Maintain Regular Monitoring
23.15,68.45,1015.11,156.09,67.72,101.52,2.7,0.007,-1.25,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
23.16,58.98,1012.62,188.65,46.16,90.57,5.03,0.013,-0.347,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
49.18,40.47,1009.05,801.23,343,73.68,0.36,2.447,5.129,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
22.7,67.28,1007.39,235.9,115.74,91.6,2.33,0.001,0.477,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
30.33,64.35,1004.54,910.81,139.95,75.56,0.16,0.257,42.932,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
26.88,57.69,1009.68,3506.22,187.24,55.08,0.29,0.186,79.018,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
23.79,57.37,1014.71,885.76,140.73,58.06,0.25,0.071,64.984,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.74,63.8,1014.9,44.5,44.15,65.23,0.17,0.005,-0.196,Normal,Safe,Maintain Regular Monitoring
24.93,64.5,1014.62,194.56,71.12,60.21,0.15,0.064,0.278,Normal,Safe,Maintain Regular Monitoring
23.38,62.77,1015.5,133.66,81.29,61.64,0.14,0.052,-1.106,Normal,Safe,Maintain Regular Monitoring
51.52,36.55,1012.43,626.16,518.69,64.15,0.28,0.859,5.01,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
26.05,58.55,1013.21,128.56,79.8,50.8,0.08,-0.005,1.448,Normal,Safe,Maintain Regular Monitoring
27.68,63.42,1011.87,1286.21,104.7,53.32,0.23,0.117,52.489,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
30.5,86.95,1006.93,242.34,520.69,51.34,0.09,0.094,1.172,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
20.51,60.85,1010.65,130.07,85.89,60.53,0.22,0.044,0.033,Normal,Safe,Maintain Regular Monitoring
30.18,53.38,1009.44,3510.9,91.51,53.7,0.13,0.274,26.57,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.22,72.72,1011.16,143.77,48.43,95.56,3.57,0.027,-1.218,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
25.58,61.27,1011.42,100.03,67.47,63.05,0.19,-0.097,-0.542,Normal,Safe,Maintain Regular Monitoring
25.46,48.82,1013.21,203.48,48.6,49.45,0.12,0.033,1.02,Normal,Safe,Maintain Regular Monitoring
23.05,59.64,1009.35,202.65,50.01,54.73,0.16,-0.018,2.257,Normal,Safe,Maintain Regular Monitoring
26.29,63.4,1018.48,195.75,63.22,61.58,0.14,-0.011,0.9,Normal,Safe,Maintain Regular Monitoring
24.26,64.46,1015.07,78.17,74.9,90.09,6.18,-0.014,0.941,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
31.79,95.55,1005.77,172.23,337.66,49.25,0.1,0.005,-1.156,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
43.71,35.45,1007.59,308.41,390,80.33,0.35,2.714,2.084,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
29.52,91.26,1003.87,295.2,211.81,49.26,0.15,-0.009,1.164,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
33.37,90.17,1007.82,390.9,386.12,39.96,0.13,0.113,3.807,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
25.76,59.78,1011.76,204.93,80.41,65.2,0.23,0.074,2.738,Normal,Safe,Maintain Regular Monitoring
29.1,88.63,1009.44,364.92,302.12,40.83,0.08,-0.011,-0.375,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
45.35,46.16,1005.2,315.43,540.23,68.22,0.26,3.019,8.595,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
33.57,85.81,1000.63,431.72,426.37,42.54,0.08,0.121,2.194,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
29.53,90.33,1001.21,229.39,435.07,49.41,0.15,-0.006,2.164,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
24.97,59.31,1010.17,35.67,48.62,45.61,0.06,-0.042,1.898,Normal,Safe,Maintain Regular Monitoring
25.71,60.54,1011.79,154.49,40.18,50.13,0.21,-0.031,0.207,Normal,Safe,Maintain Regular Monitoring
24.43,61.33,1014.2,117.49,75.64,62.97,0.2,0.074,2.924,Normal,Safe,Maintain Regular Monitoring
28.93,61.98,1014.54,4763.18,160.81,76.04,0.21,0.118,31.021,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
32.18,94.99,1011.13,428.74,326.25,45.39,0.07,0.139,2.099,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
33.01,90.3,1004.74,352.44,440.36,43.22,0.17,-0.002,1.003,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
22.2,67.56,1016.43,152.84,68.91,47.76,0.19,0.039,2.884,Normal,Safe,Maintain Regular Monitoring
25.94,57.99,1009.37,925.62,163.49,74.43,0.31,0.285,71.197,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
27.09,63.35,997.88,1457.08,138.71,59.63,0.17,0.215,56.499,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.88,59.67,1012.75,47.32,68.7,48.22,0.22,0.051,0.3,Normal,Safe,Maintain Regular Monitoring
24.88,57.52,1016.19,188.98,97.37,62.15,0.06,0.014,-0.12,Normal,Safe,Maintain Regular Monitoring
24.15,60.97,1010.96,55.48,56.97,52.05,0.08,0.006,-1.543,Normal,Safe,Maintain Regular Monitoring
23.84,61.32,1015.16,131.85,60.93,73.24,4.05,0.068,-1.139,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
23.82,63.66,1015.84,72.53,25.79,54.1,0.16,0.002,0.861,Normal,Safe,Maintain Regular Monitoring
27.37,76.16,1009.4,1930.88,128.54,53.97,0.12,0.011,72.567,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
24.21,63.42,1010.09,162.52,98,107.53,4.07,0.029,0.569,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
27.79,48.43,1006.88,1620.91,128.73,68.76,0.29,-0.132,73.676,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
21.33,70.71,1010.9,157.63,69.54,81.35,5.72,-0.012,-0.3,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
29.76,74.76,1018.66,115.16,89.74,79.3,5.38,-0.008,0.217,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
22.52,59.06,1010.69,91.6,46.42,48.37,0.12,0.031,-0.139,Normal,Safe,Maintain Regular Monitoring
29.39,60.7,1004.62,4188.23,165.51,66.16,0.16,0.102,30.275,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
23.85,64.69,1014.09,160.4,78.06,47.9,0.12,0.018,-0.592,Normal,Safe,Maintain Regular Monitoring
22.81,58.66,1014.08,127.7,57.28,57.75,0.15,0.117,-1.181,Normal,Safe,Maintain Regular Monitoring
26.61,60.17,1011.4,125.7,70.09,60.32,0.15,-0.084,2.57,Normal,Safe,Maintain Regular Monitoring
54.46,31.21,1009.84,451.86,242.82,65.03,0.37,1.101,8.083,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
25.37,56.72,1012.88,2398.77,160.09,58.1,0.13,0.127,62.418,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.86,65.71,1013.54,116.83,86.87,50.78,0.06,-0.04,0.61,Normal,Safe,Maintain Regular Monitoring
24.95,61.42,1013.84,142.23,90.86,49.66,0.11,0.068,1.69,Normal,Safe,Maintain Regular Monitoring
32.36,95.86,1009.15,243.56,325.59,39.11,0.1,-0.016,-1.503,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
23.66,56.23,1009.91,217.56,50.79,55.06,0.14,0.08,1.433,Normal,Safe,Maintain Regular Monitoring
25.34,69.61,1010.35,135.88,93.18,48.36,0.1,-0.005,-0.091,Normal,Safe,Maintain Regular Monitoring
25.33,48.69,1008.92,1987.38,129.14,75.7,0.17,0.063,26.508,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
29.97,65.74,1008.97,276.58,70.96,88.33,5.37,0.095,0.81,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
24.11,66.3,1014.6,72.82,62.36,54.42,0.25,0.096,1.223,Normal,Safe,Maintain Regular Monitoring
36.71,41.17,1006.67,396.65,481.27,68.54,0.24,3.333,10.187,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
24.87,66.25,1010.71,89.5,95.36,103.57,2.57,0.004,-1.216,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
25.68,52.67,1016.29,189.07,59.43,61.92,0.12,-0.006,-1.323,Normal,Safe,Maintain Regular Monitoring
19.34,61.74,1013.66,148.58,104.67,116,3.11,-0.065,-0.189,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
27.38,62.7,1005.96,2728.6,118.93,62.28,0.14,0.216,54.353,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
51.72,29.37,1010.19,605.02,273.52,72.27,0.35,1.007,5.547,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
48.11,36.06,1010.55,958.6,594.75,57.07,0.23,1.086,5.549,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
45.09,41.52,1014.83,809.44,252.25,59.58,0.2,3.034,2.419,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
23.79,56,1012.32,184.34,64.27,57.12,0.24,0.007,0.77,Normal,Safe,Maintain Regular Monitoring
32.41,87.64,1007.77,375.72,390.64,47.48,0.1,0.112,2.106,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
24.92,60.76,1016.8,124.72,53.71,56.86,0.22,0.138,-2.697,Normal,Safe,Maintain Regular Monitoring
25.71,53.18,1012.52,95.38,37.95,50.85,0.12,0.072,1.2,Normal,Safe,Maintain Regular Monitoring
24.27,64.9,1011.08,226.91,39.92,61.42,0.19,0.042,-0.882,Normal,Safe,Maintain Regular Monitoring
40.9,34.14,1002.13,386.19,298.63,76.83,0.28,2.845,10.98,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
37.85,35.86,1013.67,388.57,327.55,79.59,0.16,3.054,11.747,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
23.83,59.46,1011.42,55.63,65.51,54.51,0.17,0.016,0.455,Normal,Safe,Maintain Regular Monitoring
23.54,68.97,1008.17,1937.19,155.13,65.54,0.17,0.176,53.491,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.9,61.5,1011.39,185.59,47.97,54.34,0.12,-0.025,1.313,Normal,Safe,Maintain Regular Monitoring
37.13,37.85,1007.29,625.79,373.82,72.71,0.2,2.344,10.054,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
20.23,58.97,1014.57,67.31,49.82,52.66,0.06,0.028,2.381,Normal,Safe,Maintain Regular Monitoring
23.28,66.63,1008.59,126.77,110.89,118.45,2.81,-0.009,-1.228,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
28.52,53.12,1010.07,4106.18,117.64,69.78,0.14,0.122,61.989,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
28.33,62.74,1011.38,298.22,54.06,94.71,6.43,0.03,1.115,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
26.4,63.12,1012.36,137.04,47.55,50.29,0.16,0.001,1.025,Normal,Safe,Maintain Regular Monitoring
24.83,64.13,1013.87,195.31,26.29,50.94,0.2,0.049,0.025,Normal,Safe,Maintain Regular Monitoring
23.68,66.47,1015.9,169.42,65.76,65.97,0.11,-0.017,1.366,Normal,Safe,Maintain Regular Monitoring
22.37,69.54,1016.11,112.49,45.39,73.27,5.2,0.035,-0.847,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
31.35,95,1010,249.59,368.21,38.19,0.05,-0.036,4.823,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
22.2,62.95,1016.22,201.55,34.2,60.63,0.16,-0.019,0.501,Normal,Safe,Maintain Regular Monitoring
37.98,40.02,1012.2,595.6,285.91,66.32,0.36,1.592,7.255,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
32.88,94.6,1007.55,353.89,531.61,42.14,0.04,0.135,-0.762,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
50.56,40.67,1007.51,754.44,227.47,61.67,0.35,2.303,5.427,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
29.35,55.44,1009.15,2438.01,157.47,58.98,0.1,0.228,64.85,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
22.16,58.21,1013.27,191.69,95.29,71.6,0.07,-0.088,1.552,Normal,Safe,Maintain Regular Monitoring
21.69,69.52,1012.21,101.42,43.37,40.07,0.22,-0.008,1.718,Normal,Safe,Maintain Regular Monitoring
30.14,87.64,1009.82,244.57,255.29,46.85,0.06,0.141,4.464,Toxic Gas / Poor Ventilation,Moderate Risk,Inspect Ventilation Ducts & Airflow Dampers
32.9,92.55,1007.81,411.86,379.99,48.22,0.13,0.013,-2.476,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
